participantId,device,datasetId,pauseTime,sortingTime,time,experimentOrder,nbTrue,trueProp,maxTrueStreak,maxTrueStreakBoth,maxFalseStreakBoth,veracityScore,levenDist
14,VR,1,1.389379858970642,170.81153869628906,2022-04-30 13:43:08,4,3,0.42857142857142855,1,1,2,0.30612244897959184,7
5,Comp,1,12.61647129058838,128.8485107421875,2022-04-29 18:03:38,2,3,0.42857142857142855,1,2,1,0.20408163265306123,7
4,Comp,2,1514.756103515625,332.9734191894531,2022-04-27 17:28:27,2,5,0.7142857142857143,1,1,1,0.5918367346938775,6
17,Comp,2,23.782838821411133,77.85194396972656,2022-05-02 09:48:23,4,3,0.42857142857142855,1,1,2,0.1836734693877551,7
20,Comp,1,54.61604309082031,165.74435424804688,2022-05-02 10:28:58,1,6,0.8571428571428571,1,2,1,0.42857142857142855,7
20,Comp,2,315.6630554199219,183.64219665527344,2022-05-02 10:40:17,2,4,0.5714285714285714,1,1,2,0.3469387755102041,7
20,VR,2,133.70391845703125,436.7877807617188,2022-05-02 11:04:23,3,3,0.42857142857142855,1,1,1,0.20408163265306123,7
20,VR,1,319.7902526855469,433.7123107910156,2022-05-02 11:20:05,4,4,0.5714285714285714,1,1,1,0.30612244897959184,7
21,VR,1,102.40837097167967,234.8043975830078,2022-05-02 11:54:23,1,3,0.42857142857142855,1,1,1,0.2653061224489796,6
10,Comp,1,0.0,0.0,2022-04-27 16:14:36,4,3,0.42857142857142855,1,1,2,0.3673469387755102,6
21,VR,2,61.9385986328125,153.5532989501953,2022-05-02 12:01:44,2,3,0.42857142857142855,1,1,2,0.3469387755102041,6
21,Comp,2,177.1230926513672,282.47491455078125,2022-05-02 12:15:10,3,2,0.2857142857142857,1,1,1,0.2653061224489796,6
21,Comp,1,132.89488220214844,197.0245361328125,2022-05-02 12:23:39,4,5,0.7142857142857143,1,1,1,0.3877551020408163,7
25,Comp,1,34.849246978759766,233.96861267089844,2022-05-02 15:10:35,1,5,0.7142857142857143,2,2,1,0.5510204081632653,5
25,Comp,2,76.94860076904297,195.6067657470703,2022-05-02 15:18:12,2,4,0.5714285714285714,2,2,1,0.42857142857142855,5
25,VR,2,112.90270233154295,116.0712432861328,2022-05-02 15:31:31,3,5,0.7142857142857143,1,1,1,0.3877551020408163,7
